LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,Location 1
R037,P.S. R037,15 FAIRFIELD STREET,942193,144830,503,51,14605,5045860001,SI54,Great Kills                                                                ,FLORENCE GORSKY,31,DA75,CITYWIDE SPECIAL EDUCATION,"15 FAIRFIELD STREET
STATEN ISLAND, NY 10308
(40.5641, -74.151368)"
R373,P.S. R373,91 HENDERSON AVENUE,957759,172890,501,49,8100,5000730064,SI22,West New Brighton-New Brighton-St. George                                  ,Paulette Benevento,31,DA75,CITYWIDE SPECIAL EDUCATION,"91 HENDERSON AVENUE
STATEN ISLAND, NY 10301
(40.64118, -74.095454)"
R721,The Richard H. Hungerford School,155 TOMPKINS AVENUE,962859,165473,501,49,2700,5005340075,SI37,Stapleton-Rosebank                                                         ,KRISTIN MCHUGH,31,DA75,CITYWIDE SPECIAL EDUCATION,"155 TOMPKINS AVENUE
STATEN ISLAND, NY 10304
(40.620835, -74.077054)"
X010,P.S. X010,2750 LAFAYETTE AVENUE,1031516,240651,210,13,15200,2055470001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,NULL,8,DA75,CITYWIDE SPECIAL EDUCATION,"2750 LAFAYETTE AVENUE
BRONX, NY 10465
(40.82708, -73.829211)"
X012,P.S. X012 Lewis and Clark School,2555 TRATMAN AVENUE,1027225,245578,210,13,20000,2039830001,BX37,Van Nest-Morris Park-Westchester Square                                    ,KUVANA JONES SANDERS,11,DA75,CITYWIDE SPECIAL EDUCATION,"2555 TRATMAN AVENUE
BRONX, NY 10461
(40.840625, -73.844685)"
X168,P.S. 168,3050 WEBSTER AVENUE,1017790,256077,207,11,42500,2033300001,BX43,Norwood                                                                    ,MAUREEN FULLERTON,10,DA75,CITYWIDE SPECIAL EDUCATION,"3050 WEBSTER AVENUE
BRONX, NY 10467
(40.869482, -73.878731)"
X176,P.S. X176,850 BAYCHESTER AVENUE,1030803,257757,210,12,46201,2051410150,BX13,Co-op City                                                                 ,JOHN SIRACUSE,11,DA75,CITYWIDE SPECIAL EDUCATION,"850 BAYCHESTER AVENUE
BRONX, NY 10475
(40.874035, -73.831669)"
X186,P186X Walter J. Damrosch School,750 JENNINGS STREET,1012533,242191,203,16,15100,2029690001,BX35,Morrisania-Melrose                                                         ,AVA KAPLAN,12,DA75,CITYWIDE SPECIAL EDUCATION,"750 JENNINGS STREET
BRONX, NY 10459
(40.831388, -73.897797)"
X188,P.S. X188,770 GROTE STREET,1016376,249038,206,15,39300,2031000014,BX06,Belmont                                                                    ,SHANIE JOHNSON,10,DA75,CITYWIDE SPECIAL EDUCATION,"770 GROTE STREET
BRONX, NY 10460
(40.850168, -73.883877)"
X352,The Vida Bogart School for All Children,1330 BRISTOW STREET,1013517,242274,203,17,15300,2029650082,BX75,Crotona Park East                                                          ,LOURDES MENDEZ,12,DA75,CITYWIDE SPECIAL EDUCATION,"1330 BRISTOW STREET
BRONX, NY 10459
(40.831613, -73.894241)"
X723,P.S. 723,3540 BIVONA STREET,1030745,261016,212,12,46202,2052630070,BX13,Co-op City                                                                 ,SHANTE CHUNN,11,DA75,CITYWIDE SPECIAL EDUCATION,"3540 BIVONA STREET
BRONX, NY 10475
(40.88298, -73.831856)"
K356,Achievement First Crown Heights Charter School,790 EAST NEW YORK AVENUE,1001919,180501,309,41,87600,3048060001,BK60,Prospect Lefferts Gardens-Wingate                                          ,Camilla Lopez/Dymir Arthur,17,NULL,OFFICE OF CHARTER SCHOOLS,"790 EAST NEW YORK AVENUE
BROOKLYN, NY 11203
(40.662092, -73.936313)"
K357,KIPP AMP Charter School,1224 PARK PLACE,1001559,184216,308,36,34300,3013700029,BK61,Crown Heights North                                                        ,Natalie Webb/Alaina Chipman,17,NULL,OFFICE OF CHARTER SCHOOLS,"1224 PARK PLACE
BROOKLYN, NY 11213
(40.67229, -73.937601)"
K358,Achievement First East New York Charter School,557 PENNSYLVANIA AVENUE,1013844,181232,305,42,112600,3038230001,BK85,East New York (Pennsylvania Ave)                                           ,Hilary Cymrot/Fatimah Barker,19,NULL,OFFICE OF CHARTER SCHOOLS,"557 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.664067, -73.893328)"
K360,Launch Expeditionary Learning Charter School,1580 DEAN STREET,1002254,185450,308,36,30900,3013470001,BK61,Crown Heights North                                                        ,Evan Kilgore/Geoffrey Roehm,16,NULL,OFFICE OF CHARTER SCHOOLS,"1580 DEAN STREET
BROOKLYN, NY 11213
(40.675675, -73.935093)"
K362,Hellenic Classical Charter School,646 FIFTH AVENUE,986399,180820,307,38,14300,3006340034,BK37,Park Slope-Gowanus                                                         ,Christina Tettonis,15,NULL,OFFICE OF CHARTER SCHOOLS,"646 FIFTH AVENUE
BROOKLYN, NY 11215
(40.662985, -73.992254)"
K367,Success Academy Charter School - Bed-Stuy 1,70 TOMPKINS AVENUE,998792,193107,303,36,25700,3017430018,BK75,Bedford                                                                    ,Javeria Khan,14,NULL,OFFICE OF CHARTER SCHOOLS,"70 TOMPKINS AVENUE
BROOKLYN, NY 11206
(40.696698, -73.947557)"
K379,Explore Excel Charter School,1077 REMSEN AVENUE,1009815,173437,318,46,96400,3081600022,BK50,Canarsie                                                                   ,Dana Bogle,18,NULL,OFFICE OF CHARTER SCHOOLS,"1077 REMSEN AVENUE
BROOKLYN, NY 11236
(40.642684, -73.90788)"
K386,Invictus Preparatory Charter School,370 FOUNTAIN AVENUE,1019054,183408,305,42,111800,3042780001,BK82,East New York                                                              ,Camille Bell,19,NULL,OFFICE OF CHARTER SCHOOLS,"370 FOUNTAIN AVENUE
BROOKLYN, NY 11208
(40.67002, -73.874537)"
K406,Teaching Firms of America-Professional Preparatory,616 QUINCY STREET,1002135,190058,303,36,29300,3016300001,BK35,Stuyvesant Heights                                                         ,Rafiq Kalam Id-Din/Damien Dunkley,16,NULL,OFFICE OF CHARTER SCHOOLS,"616 QUINCY STREET
BROOKLYN, NY 11221
(40.688323, -73.935509)"
K508,Achievement First Endeavor Charter School,510 WAVERLY AVENUE,993700,187903,302,35,19900,3020110039,BK69,Clinton Hill                                                               ,Paul Adler/Stephanie Blake,13,NULL,OFFICE OF CHARTER SCHOOLS,"510 WAVERLY AVENUE
BROOKLYN, NY 11238
(40.682422, -73.965928)"
K517,Leadership Prep Bedford Stuyvesant Uncommon Prep C,141 MACON STREET,999338,187723,303,36,26900,3018450001,BK75,Bedford                                                                    ,Ishani Mehta/Owen Losse,13,NULL,OFFICE OF CHARTER SCHOOLS,"141 MACON STREET
BROOKLYN, NY 11216
(40.68192, -73.9456)"
K536,Community Roots Charter School,51 SAINT EDWARDS STREET,990441,192608,302,35,2901,3020390002,BK68,Fort Greene                                                                ,Allison Keil/Sara Stone,13,NULL,OFFICE OF CHARTER SCHOOLS,"51 SAINT EDWARDS STREET
BROOKLYN, NY 11205
(40.695339, -73.977674)"
K538,Achievement First Bushwick Charter School,1300 GREENE AVENUE,1006686,193550,304,37,43100,3032980001,BK77,Bushwick North                                                             ,Courtney Saretzky/Riley Bauling,32,NULL,OFFICE OF CHARTER SCHOOLS,"1300 GREENE AVENUE
BROOKLYN, NY 11237
(40.697898, -73.919088)"
K593,Excellence Boys Charter School,239 PATCHEN AVENUE,1004815,188283,303,41,38300,3016730001,BK35,Stuyvesant Heights                                                         ,Kevin Hall/Samantha Tweedy,16,NULL,OFFICE OF CHARTER SCHOOLS,"239 PATCHEN AVENUE
BROOKLYN, NY 11233
(40.683446, -73.925851)"
K608,Kings Collegiate Charter School,1084 LENOX ROAD,1006497,178909,317,41,88600,3046690037,BK96,Rugby-Remsen Village                                                       ,Scott Schuster/Maya Roth,18,NULL,OFFICE OF CHARTER SCHOOLS,"1084 LENOX ROAD
BROOKLYN, NY 11212
(40.657712, -73.919818)"
K626,Achievement First Brownsville Charter School,2021 BERGEN STREET,1008470,185011,316,41,36501,3014480001,BK79,Ocean Hill                                                                 ,Katherine Roger/Keith Brooks,23,NULL,OFFICE OF CHARTER SCHOOLS,"2021 BERGEN STREET
BROOKLYN, NY 11233
(40.674456, -73.912685)"
K648,Bedford Stuyvesant Collegiate Charter School,800 GATES AVENUE,1003090,189930,303,36,29300,3016360001,BK35,Stuyvesant Heights                                                         ,Justin Pigeon,16,NULL,OFFICE OF CHARTER SCHOOLS,"800 GATES AVENUE
BROOKLYN, NY 11221
(40.68797, -73.932066)"
K651,PAVE Academy Charter School,732 HENRY STREET,983175,185546,306,38,5900,3005390024,BK33,Carroll Gardens-Columbia Street-Red Hook                                   ,Hannah Prussin/Darren Horn,15,NULL,OFFICE OF CHARTER SCHOOLS,"732 HENRY STREET
BROOKLYN, NY 11231
(40.675936, -74.003372)"
K652,Brooklyn Ascend Charter School,205 Rockaway Parkway,1006323,180451,317,41,89200,3046330050,BK81,Brownsville                                                                ,Janna Genzlinger/Johana Andujar,18,NULL,OFFICE OF CHARTER SCHOOLS,"205 Rockaway Parkway
BROOKLYN, NY 11212
(40.661945, -73.92044)"
K707,Brooklyn Prospect Charter School,3002 FORT HAMILTON PARKWAY,990155,175322,307,39,50000,3053160001,BK40,Windsor Terrace                                                            ,CAROLYN MICHAEL/INGRID WONG,15,NULL,OFFICE OF CHARTER SCHOOLS,"3002 FORT HAMILTON PARKWAY
BROOKLYN, NY 11218
(40.647893, -73.97872)"
K710,Brownsville Collegiate Charter School,364 SACKMAN STREET,1010565,182941,316,41,90800,3037440009,BK81,Brownsville                                                                ,Anjya Thomas,23,NULL,OFFICE OF CHARTER SCHOOLS,"364 SACKMAN STREET
BROOKLYN, NY 11212
(40.668768, -73.90514)"
K711,Leadership Preparatory Brownsville Charter School,985 ROCKAWAY AVENUE,1010148,178159,316,42,92200,3036360007,BK81,Brownsville                                                                ,Celestina De La Garza,23,NULL,OFFICE OF CHARTER SCHOOLS,"985 ROCKAWAY AVENUE
BROOKLYN, NY 11212
(40.655644, -73.906662)"
K712,Excellence Girls Charter School,794 MONROE STREET,1005210,189979,303,41,38500,3016430036,BK35,Stuyvesant Heights                                                         ,Nikki Bowen/Meredith Anderson,16,NULL,OFFICE OF CHARTER SCHOOLS,"794 MONROE STREET
BROOKLYN, NY 11221
(40.6881, -73.924422)"
K724,Leadership Prep Canarsie Charter School (Leadershi,1070 EAST 104 STREET,1014000,173970,318,46,98600,3082300001,BK50,Canarsie                                                                   ,Emily Hoefling Crouch/Adam Cobb,18,NULL,OFFICE OF CHARTER SCHOOLS,"1070 EAST 104 STREET
BROOKLYN, NY 11236
(40.644134, -73.892797)"
K730,Summit Academy Charter School,27 HUNTINGTON STREET,982821,186259,306,38,5900,3005250001,BK33,Carroll Gardens-Columbia Street-Red Hook                                   ,Natasha Campbell,15,NULL,OFFICE OF CHARTER SCHOOLS,"27 HUNTINGTON STREET
BROOKLYN, NY 11231
(40.677914, -74.005151)"
K731,Brooklyn Excelsior Charter School,856 QUINCY STREET,1005025,190514,303,41,38700,3016330058,BK35,Stuyvesant Heights                                                         ,Adam Stevens,16,NULL,OFFICE OF CHARTER SCHOOLS,"856 QUINCY STREET
BROOKLYN, NY 11221
(40.689569, -73.925087)"
K737,Brownsville Ascend Charter School,1501 PITKIN AVENUE,1006964,182876,316,41,90000,0,BK81,Brownsville                                                                ,Erica Murphy,23,NULL,OFFICE OF CHARTER SCHOOLS,"1501 PITKIN AVENUE
BROOKLYN, NY 11212
(40.668608, -73.918123)"
K744,Coney Island Preparatory Public Charter School,501 WEST AVENUE,992025,151505,313,47,35400,3072500025,BK23,West Brighton                                                              ,Jacob Mnookin,21,NULL,OFFICE OF CHARTER SCHOOLS,"501 WEST AVENUE
BROOKLYN, NY 11224
(40.582518, -73.972009)"
K746,Hebrew Language Academy Charter School,2186 MILL AVENUE,1008041,162350,318,46,69800,3084701091,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,David Penberg,22,NULL,OFFICE OF CHARTER SCHOOLS,"2186 MILL AVENUE
BROOKLYN, NY 11234
(40.612258, -73.914312)"
K774,Achievement First Apollo Charter School,350 LINWOOD STREET,1016367,185988,305,37,117000,3039690001,BK82,East New York                                                              ,Jabari Sims,19,NULL,OFFICE OF CHARTER SCHOOLS,"350 LINWOOD STREET
BROOKLYN, NY 11208
(40.677112, -73.884211)"
K775,Leadership Preparatory Ocean Hill Charter School,51 CHRISTOPHER AVENUE,1010320,184197,316,37,90800,3036930001,BK81,Brownsville                                                                ,Nikki Bridges,23,NULL,OFFICE OF CHARTER SCHOOLS,"51 CHRISTOPHER AVENUE
BROOKLYN, NY 11212
(40.672216, -73.906018)"
K777,Ocean Hill Collegiate Charter School,1137 HERKIMER STREET,1007797,186347,316,41,30100,3015500001,BK79,Ocean Hill                                                                 ,Hannah Solomon,23,NULL,OFFICE OF CHARTER SCHOOLS,"1137 HERKIMER STREET
BROOKLYN, NY 11233
(40.678124, -73.915106)"
K780,Brooklyn East Collegiate Charter School,80 UNDERHILL AVENUE,993588,186494,308,35,20500,3011450026,BK64,Prospect Heights                                                           ,Rodolpho Loureiro,13,NULL,OFFICE OF CHARTER SCHOOLS,"80 UNDERHILL AVENUE
BROOKLYN, NY 11238
(40.678554, -73.966333)"
K782,Bedford Stuyvesant New Beginnings Charter School,82 LEWIS AVENUE,1001521,192372,303,36,28300,3015910045,BK35,Stuyvesant Heights                                                         ,Silbia Pagan/Nicholas Tishuk,16,NULL,OFFICE OF CHARTER SCHOOLS,"82 LEWIS AVENUE
BROOKLYN, NY 11206
(40.694676, -73.937717)"
K793,Bushwick Ascend Charter School,751 KNICKERBOCKER AVENUE,1009507,192041,304,37,43700,3033990001,BK77,Bushwick North                                                             ,Zelda Washington,32,NULL,OFFICE OF CHARTER SCHOOLS,"751 KNICKERBOCKER AVENUE
BROOKLYN, NY 11221
(40.693748, -73.90892)"
K803,Brooklyn LABÊCharter School,25 Chapel Street,988128,193305,302,33,1300,0,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"Eric Tucker, PHD",13,NULL,OFFICE OF CHARTER SCHOOLS,"25 Chapel Street
Brooklyn, NY 11201
(40.697262, -73.986016)"
K807,Collegiate Academy for Math and Personal Awareness,1962-84 LINDEN BLVD.,1015110,178976,305,42,110400,3043480001,BK82,East New York                                                              ,George E. Leonard,19,NULL,OFFICE OF CHARTER SCHOOLS,"1962-84 LINDEN BLVD.
BROOKLYN, NY 11207
(40.65787, -73.888775)"
K879,Brooklyn Prospect Charter School Downtown,300 WILLOUGHBY AVENUE,995847,191399,303,33,23500,3019260010,BK69,Clinton Hill                                                               ,JUMAANE SAUNDERS/JACKIE DELUCA,13,NULL,OFFICE OF CHARTER SCHOOLS,"300 WILLOUGHBY AVENUE
BROOKLYN, NY 11205
(40.692015, -73.95818)"
M065,Democracy Prep Endurance Charter School,250 WEST 127 STREET,998395,234568,110,9,22400,1019320010,MN03,Central Harlem North-Polo Grounds                                          ,Margaret Marrer,5,NULL,OFFICE OF CHARTER SCHOOLS,"250 WEST 127 STREET
MANHATTAN, NY 10027
(40.810499, -73.948902)"
M068,KIPP Washington Heights Middle School,21 JUMEL PLACE,1002010,245005,112,10,24900,1021120058,MN36,Washington Heights South                                                   ,Natalie Webb/Danny Swersky,6,NULL,OFFICE OF CHARTER SCHOOLS,"21 JUMEL PLACE
MANHATTAN, NY 10032
(40.839139, -73.935815)"
M202,Great Oaks Charter School,38 DELANCEY STREET,986507,201471,103,1,1800,0,MN27,Chinatown                                                                  ,Kristin Levine,1,NULL,OFFICE OF CHARTER SCHOOLS,"38 DELANCEY STREET
MANHATTAN, NY 10002
(40.719676, -73.991859)"
M204,Capital Preparatory (CP) Harlem Charter School,1 EAST 104 STREET,997716,228228,111,8,16800,1016100001,MN33,East Harlem South                                                          ,DANITA JONES,4,NULL,OFFICE OF CHARTER SCHOOLS,"1 EAST 104 STREET
MANHATTAN, NY 10029
(40.793098, -73.951367)"
M263,New York City Charter School of the Arts,440 WEST  53 STREET,987082,218308,104,3,13300,1010620003,MN15,Clinton                                                                    ,JAMIE DAVIDSON,2,NULL,OFFICE OF CHARTER SCHOOLS,"440 WEST 53 STREET
MANHATTAN, NY 10019
(40.76588, -73.989776)"
M279,The Opportunity Charter School,240 WEST 113 STREET,996547,231315,110,9,21600,1018280015,MN11,Central Harlem South                                                       ,Allison Mutzel/Ricky Koodie,3,NULL,OFFICE OF CHARTER SCHOOLS,"240 WEST 113 STREET
MANHATTAN, NY 10026
(40.801573, -73.955583)"
M284,Harlem Children's Zone Promise Academy 1 Charter S,245 West 129th Street,998600,235286,110,9,22400,1019330020,MN03,Central Harlem North-Polo Grounds                                          ,Tonya White/Shakira Petit,5,NULL,OFFICE OF CHARTER SCHOOLS,"245 West 129th Street
New York, NY 10027
(40.811882, -73.947317)"
M295,School in the Square Public Charter School,120 WADSWORTH AVENUE,1001936,248548,112,10,26300,1021630041,MN36,Washington Heights South                                                   ,EVAN MEYERS,6,NULL,OFFICE OF CHARTER SCHOOLS,"120 WADSWORTH AVENUE
MANHATTAN, NY 10033
(40.848864, -73.936073)"
M330,Girls Preparatory Charter School of New York,442 EAST HOUSTON STREET,990520,201552,103,2,2000,1003560100,MN28,Lower East Side                                                            ,Lacy Reed/Rebekah Adamek,1,NULL,OFFICE OF CHARTER SCHOOLS,"442 EAST HOUSTON STREET
NEW YORK, NY 10002
(40.719888, -73.97738)"
M335,Harlem Village Academy Leadership Charter School,2351 FIRST AVENUE,1002595,230478,111,8,19400,1017970100,MN34,East Harlem North                                                          ,Todd Richardson/Megan Ou-yang,4,NULL,OFFICE OF CHARTER SCHOOLS,"2351 FIRST AVENUE
MANHATTAN, NY 10035
(40.799265, -73.93374)"
M336,KIPP Infinity Charter School,625 WEST 133 STREET,996203,237953,109,7,22302,1020010005,MN06,Manhattanville                                                             ,Natalie Webb/Allison Willis Holley,5,NULL,OFFICE OF CHARTER SCHOOLS,"625 WEST 133 STREET
MANHATTAN, NY 10027
(40.819793, -73.956814)"
M341,Harlem Children's Zone Promise Academy II Charter,2005 MADISON AVENUE,1001216,233302,111,9,20600,1017520022,MN03,Central Harlem North-Polo Grounds                                          ,Kathleen Fernald/Sheryl Ragland,5,NULL,OFFICE OF CHARTER SCHOOLS,"2005 MADISON AVENUE
MANHATTAN, NY 10035
(40.807019, -73.938714)"
M350,Democracy Prep Charter School,2230 5 AVENUE,1001316,235675,110,9,21200,1017330017,MN03,Central Harlem North-Polo Grounds                                          ,Tanya Nunez/Natasha Trivers,5,NULL,OFFICE OF CHARTER SCHOOLS,"2230 5 AVENUE
MANHATTAN, NY 10037
(40.813532, -73.938347)"
M351,Success Academy Charter School - Harlem 1,34 WEST 118 STREET,998622,231708,110,9,19000,1016010001,MN11,Central Harlem South                                                       ,Andrea Klein/Danique Loving,3,NULL,OFFICE OF CHARTER SCHOOLS,"34 WEST 118 STREET
MANHATTAN, NY 10026
(40.802649, -73.948088)"
M353,New Heights Academy Charter School,1818 AMSTERDAM AVENUE,999369,241251,109,7,23700,1020820028,MN04,Hamilton Heights                                                           ,Fred Givens III/Denise Linares,6,NULL,OFFICE OF CHARTER SCHOOLS,"1818 AMSTERDAM AVENUE
MANHATTAN, NY 10031
(40.82884, -73.945368)"
M382,DREAM Charter School,1991 SECOND AVENUE,999452,226799,111,8,16400,1016520001,MN33,East Harlem South                                                          ,Eve Colavito,4,NULL,OFFICE OF CHARTER SCHOOLS,"1991 SECOND AVENUE
NEW YORK, NY 10029
(40.789174, -73.945101)"
M384,Success Academy Charter School - Harlem 2,144-176 EAST 128 STREET,1002117,232805,111,9,24200,1017760020,MN34,East Harlem North                                                          ,Kaitlin McDermott/Lavinia Mackall,5,NULL,OFFICE OF CHARTER SCHOOLS,"144-176 EAST 128 STREET
MANHATTAN, NY 10035
(40.805653, -73.935461)"
M385,Success Academy Charter School - Harlem 3,410 EAST 100 STREET,1000269,225318,111,8,16200,1016930001,MN33,East Harlem South                                                          ,Tara Stant/David Noah,4,NULL,OFFICE OF CHARTER SCHOOLS,"410 EAST 100 STREET
MANHATTAN, NY 10029
(40.785107, -73.942154)"
M386,Success Academy Charter School - Harlem 4,240 WEST 113 STREET,996547,231315,110,9,21600,1018280015,MN11,Central Harlem South                                                       ,William Loskoch,3,NULL,OFFICE OF CHARTER SCHOOLS,"240 WEST 113 STREET
MANHATTAN, NY 10026
(40.801573, -73.955583)"
M388,St. HOPE Leadership Academy Charter School,222 WEST 134 STREET,999242,236178,110,9,22600,1019390011,MN03,Central Harlem North-Polo Grounds                                          ,"Constance K. Bond, Ph.D",5,NULL,OFFICE OF CHARTER SCHOOLS,"222 WEST 134 STREET
MANHATTAN, NY 10030
(40.814917, -73.945838)"
M430,The Equity Project Charter School (TEP),549 AUDOBON AVENUE,1004704,251344,112,10,27700,1021600018,MN35,Washington Heights North                                                   ,Zeke Vanderhoek,6,NULL,OFFICE OF CHARTER SCHOOLS,"549 AUDOBON AVENUE
MANHATTAN, NY 10040
(40.856532, -73.92606)"
